url_path,views_total,views_unique
/Significant-Gravitas/AutoGPT,20519,14100
/significant-gravitas/autogpt,3288,2635
/Significant-Gravitas/AutoGPT/issues,865,396
/Significant-Gravitas/AutoGPT/pulls,600,242
/Significant-Gravitas/AutoGPT/releases,569,329
/Significant-Gravitas/AutoGPT/releases/tag/autogpt-platform-beta-v0.6.53,517,398
/Significant-Gravitas/AutoGPT/blob/master/classic/FORGE-QUICKSTART.md,470,350
/Significant-Gravitas/AutoGPT/tree/master/autogpt_platform,446,338
/Significant-Gravitas/AutoGPT/tree/master/.claude/skills,437,361
/Significant-Gravitas/AutoGPT/pull/12629,307,210
